"id","repo_id","committer","message","comment_count","verification"
"144","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Amend exception messages","0","0"
"145","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Refactor cmd line argument parsing","0","0"
"146","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fix #2580: Environment variable substitution in flyway.conf yields weird experience","0","0"
"147","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","web-flow","Merge pull request #2579 from dreis2211/fix-duplicate-words

Fix duplicate words in documentation","0","1"
"148","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","dreis2211","Fix duplicate words in documentation","0","0"
"149","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fix #2577: Snowflake bug","0","0"
"150","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Fix #2578: Clean fails for PROCEDURE in Postgres","0","1"
"151","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Rename flag to '-json'

Also throw if invalid command is used","0","0"
"152","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Add default schema configuration option","0","0"
"153","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Add more default placeholders","0","0"
"154","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fix #2566: Get correct version for Percona Xtra DB","0","0"
"155","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Add cmd arg for logging to a file","0","0"
"156","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Extract class for command line flag parsing","0","0"
"157","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Revert skip command

Pushing back until 6.2.0.","0","1"
"158","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Use LoadableResource abstraction for loading script configuration

Related to #2478 and #2546.","0","1"
"159","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","#2442 Cockroach 19.2 support","0","0"
